근 筋=觔(힘줄 근; ⾓-총9획; jīn)
근 仅=僅(겨우 근; ⼈-총13획; jǐn,jìn)
근 觐=覲(뵐 근; ⾒-총18획; jìn)
근 谨=謹(삼갈 근; ⾔-총18획; jǐn)
근 馑=饉(흉년 들 근; ⾷-총20획; jǐn)
금 锦=錦(비단 금; ⾦-총16획; jǐn)
급 汲=伋(속일 급; ⼈-총6획; jí)
급 级=級(등급 급; ⽷-총10획; jí)
급 给=給(넉넉할 급; ⽷-총12획; gěi,jǐ)
긍 恒=恆(반달 긍; ⼼-총9획; héng)
기 几=幾(기미 기; ⼳-총12획; jǐ,jī)
기 机=機(틀 기; ⽊-총16획; jī)
기 旗=旂(기 기; ⽅-총10획; qí)
기 弃=棄(버릴 기; ⽊-총12획; qì)
기 只=祇(토지의 신 기마침 지; ⽰-총9획; qí,zhǐ)
기 只=衹(가사 기; ⾐-총9획; gí,zhǐ)
기 致=衹(가사 기; ⾐-총9획; gí,zhǐ)
기 叽=嘰(쪽잘거릴 기; ⼝-총15획; jī)
기 岂=豈(어찌 기; ⾖-총10획; qǐ,kǎi)
기 桤=榿(오리나무 기; ⽊-총14획; qī)
기 气=氣(기운 기; ⽓-총10획; qì)
기 玑=璣(구슬 기; ⽟-총16획; jī)
기 矶=磯(물가 기; ⽯-총17획; jī)
기 纪=紀(벼리 기; ⽷-총9획; jì,jǐ)
기 绮=綺(비단 기; ⽷-총14획; qǐ)
기 羁=羈(굴레 기; ⽹-총24획; jī)
기 蕲=蘄(풀이름 기; ⾋-총20획; qí)
기 虮=蟣(서캐 기; ⾍-총18획; jǐ,jī,qí)
기 觊=覬(바랄 기; ⾒-총17획; jì,xì)
기 讥=譏(나무랄 기; ⾔-총19획; jī)
기 记=記(기록할 기; ⾔-총10획; jì)
기 颀=頎(헌걸찰 기; ⾴-총13획; qí,kěn)
기 饥=飢(주릴 기; ⾷-총11획; jī)
기 饥=饑(주릴 기; ⾷-총21획; jī)
기 骐=騏(털총이 기; ⾺-총18획; qí)
기 骑=騎(말 탈 기; ⾺-총18획; qí)
기 骥=驥(천리마 기; ⾺-총27획; jì)
기 鳍=鰭(지느러미 기; ⿂-총21획; qí)
긴 紧=緊(굳게 얽을 긴; ⽷-총14획; jǐn)
길 鲒=鮚(대합 길; ⿂-총17획; jié,jí,qiè)
끽 吃=喫(마실 끽; ⼝-총12획; chī)
나 傩=儺(역귀 쫓을 나; ⼈-총21획; nuó)
낙 诺=諾(대답할 낙; ⾔-총16획; nuò)
난 难=難(어려울 난; ⾫-총19획; nán,nàn,nuó)
납 纳=納(바칠 납; ⽷-총10획; nà)
납 钠=鈉(메 납; ⾦-총12획; nà,ruì)
내 乃=迺(이에 내; ⾡-총10획; nǎi)
내 内=內(안 내; ⼊-총4획; nèi)
녀 钕=釹(네오디뮴 녀여; ⾦-총11획; nǔ)
년 捻=撚(비틀 년연; ⼿-총15획; niǎn,yān)
녕 宁=寧(편안할 녕영; ⼧-총14획; níng,nìng)
녕 咛=嚀(간곡할 녕영; ⼝-총17획; níng)
녕 拧=擰(어지러워질 녕영; ⼿-총17획; níng,nǐng,nìng)
녕 柠=檸(레몬 녕영; ⽊-총18획; níng)
녕 泞=濘(진창 녕영; ⽔-총17획; nìng)
녕 聍=聹(귀지 녕영; ⽿-총20획; níng)
녜 祢=禰(아비 사당 녜예,니,이; ⽰-총19획; nǐ)
노 驽=駑(둔할 노; ⾺-총15획; nú)
농 侬=儂(나 농; ⼈-총15획; nóng)
농 农=農(농사 농; ⾠-총13획; nóng)
농 哝=噥(소곤거릴 농; ⼝-총16획; nóng)
농 浓=濃(짙을 농; ⽔-총16획; nóng)
농 脓=膿(고름 농; ⾁-총17획; lóng)
뇌 恼=惱(괴로워할 뇌; ⼼-총12획; nǎo)
뇌 脑=腦(뇌 뇌; ⾁-총13획; nǎo)
뇌 馁=餒(주릴 뇌; ⾷-총16획; něi)
뇨 袅=裊(간드러질 뇨요; ⾐-총13획; niǎo)
뇨 袅=嬝(간들거릴 뇨; ⼥-총16획; niǎo)
뇨 铙=鐃(징 뇨요; ⾦-총20획; náo,nào)
눌 呐=吶(말 더듬을 눌; ⼝-총7획; nà,nȧ,nè,nė)
눌 讷=訥(말 더듬을 눌; ⾔-총11획; nè)
뉴 纽=紐(끈 뉴유; ⽷-총10획; niǔ)
뉴 钮=鈕(인꼭지 뉴유; ⾦-총12획; niǔ,chǒu)
니 你=妳(젖 내; ⼥-총8획; nǐ,nǎi)
니 腻=膩(미끄러울 니이; ⾁-총16획; nì)
니 铌=鈮(니오브 니이; ⾦-총13획; ní)
닐 昵=暱(친할 닐일; ⽇-총15획; nì)
단 端=耑(시초 단; ⽽-총9획; duān,zhuān)
단 单=單(홑 단; ⼝-총12획; dān,chán)
단 团=團(둥글 단; ⼞-총14획; tuán)
단 团=糰(경단 단; ⽶-총20획; tuán)
단 坛=壇(단 단; ⼟-총16획; tán)
단 抟=摶(뭉칠 단; ⼿-총14획; tuán,tuǎn)
단 断=斷(끊을 단; ⽄-총18획; duàn)
단 瘅=癉(앓을 단; ⽧-총17획; dàn,dān)
단 箪=簞(대광주리 단; ⽵-총18획; dān)}
단 簖=籪(통발 단; ⽵-총24획; duàn)
단 缎=緞(비단 단; ⽷-총15획; duàn)
단 郸=鄲(조나라 서울 단; ⾢-총15획; dān)
단 钽=鉭(탄탈 단; ⾦-총13획; tǎn)
단 锻=鍛(쇠 불릴 단; ⾦-총17획; duàn)
달 哒=噠(오랑캐 이름 달; ⼝-총16획; dā,tà)
달 挞=撻(매질할 달; ⼿-총16획; tà)
달 獭=獺(수달 달; ⽝-총19획; tǎ)
달 达=達(통달할 달; ⾡-총13획; dá,tà)
달 钽=鐽(탄달 달; ⾦-총21획; dá)
달 闼=闥(문 달; ⾨-총21획; tà)
달 鞑=韃(종족 이름 달; ⾰-총22획; dá,tà)
담 担=擔(멜 담; ⼿-총16획; dān,dǎn,dàn)
담 胆=膽(쓸개 담; ⾁-총17획; dǎn)
담 坛=罈(술단지 담; ⽸-총18획; dān)
담 昙=曇(흐릴 담; ⽇-총16획; tán)
담 荨=蕁(지모 담; ⾋-총16획; xún,qián)
담 谈=談(말씀 담; ⾔-총15획; tán)
담 谭=譚(이야기 담; ⾔-총19획; tán)
담 锬=錟(창 담; ⾦-총16획; tán,xiān)
당 党=黨(무리 당; ⿊-총20획; dǎng)
당 傥=儻(빼어날 당; ⼈-총22획; dǎng)
당 当=當(당할 당; ⽥-총13획; dāng,dàng)
당 当=儅(팔 물건 없을 당; ⼈-총15획; dāng)
당 当=噹(방울 당; ⼝-총16획; dāng)
당 戆=戇(어리석을 당; ⼼-총28획; zhuàng,gàng)
